Source IP,Destination IP,Source Port,Destination Port,Timestamp,Protocol,Packet Size,Flags,Severity Level
104.83.53.74,28.39.211.10,24283,61849,1/14/2024 21:52,TCP,1352,zw568,Malicious
35.112.232.253,165.172.56.170,55782,56294,1/17/2024 5:15,TCP,1469,ut376,Malicious
12.110.47.222,115.217.117.216,38693,9389,1/5/2024 20:44,TCP,928,sN357,Normal
101.166.69.70,31.191.25.198,30070,30506,1/17/2024 10:22,TCP,1051,nL746,Normal
198.208.145.38,202.17.166.55,47877,3722,1/1/2024 7:18,TCP,590,Zq964,Normal
159.231.249.217,96.110.22.163,41085,21400,1/13/2024 17:43,TCP,696,yy416,Normal
46.187.37.163,18.63.133.172,41872,31381,1/6/2024 2:33,ICMP,279,sn275,Malicious
6.12.242.108,7.87.18.170,55468,37875,1/18/2024 4:10,ICMP,1095,Qd069,Normal
138.214.129.60,3.57.251.42,50861,15124,1/9/2024 7:19,ICMP,757,LU604,Suspicious
191.222.6.3,175.50.227.159,45654,10908,1/17/2024 5:02,TCP,1318,EW082,Malicious
35.84.53.214,195.26.114.165,41313,305,1/23/2024 17:04,UDP,1379,wd486,Suspicious
198.251.30.109,90.30.241.156,33019,39707,1/25/2024 2:23,ICMP,478,dK953,Suspicious
173.175.234.189,18.188.114.212,36237,3755,1/22/2024 6:09,TCP,736,bh135,Suspicious
35.162.4.255,43.213.111.109,58014,44585,1/21/2024 23:56,UDP,482,fv354,Malicious
160.45.46.224,86.186.180.224,9373,40164,1/6/2024 6:39,UDP,480,QL990,Suspicious
209.96.221.146,68.190.125.243,49292,58489,1/2/2024 16:10,ICMP,1182,vu262,Normal
17.33.104.220,137.182.187.124,45990,1130,1/1/2024 17:00,UDP,1281,mp444,Suspicious
90.199.43.145,74.248.77.36,51719,37834,1/3/2024 14:58,ICMP,997,Av346,Suspicious
27.232.153.27,177.54.148.66,5172,9458,1/15/2024 1:56,ICMP,567,vC095,Normal
2.178.20.79,220.46.11.34,43455,59864,1/6/2024 22:20,UDP,751,Yu069,Malicious
211.35.99.90,119.228.56.63,57277,19658,1/3/2024 17:11,ICMP,195,sh776,Suspicious
205.136.172.2,15.166.187.185,26433,64432,1/23/2024 20:49,ICMP,1335,uL477,Normal
5.12.209.43,203.6.103.120,2068,64699,1/21/2024 13:38,ICMP,699,iD915,Malicious
45.110.232.111,109.87.123.81,22404,39730,1/10/2024 10:08,UDP,1068,PQ310,Malicious
93.180.14.105,42.50.56.163,11544,14198,1/20/2024 14:31,ICMP,364,FY058,Normal
43.12.109.208,36.166.131.244,11004,54044,1/1/2024 5:03,ICMP,482,wK521,Normal
123.29.197.88,83.90.126.246,16306,52979,1/18/2024 18:36,UDP,1211,GC506,Normal
2.218.193.66,3.58.245.132,59762,53628,1/2/2024 15:42,UDP,506,pB224,Malicious
107.238.17.183,67.27.145.105,30331,45340,1/7/2024 15:26,TCP,1098,zf092,Normal
89.136.14.208,29.48.169.188,8454,28564,1/2/2024 7:57,ICMP,1097,nx396,Suspicious
53.71.180.39,21.127.26.77,29463,26538,1/10/2024 17:37,TCP,516,nL814,Normal
151.220.225.107,130.55.87.72,24793,37123,1/19/2024 18:35,TCP,576,cn790,Malicious
147.211.139.113,158.141.126.3,54284,50808,1/21/2024 6:43,UDP,1419,pq783,Malicious
184.161.138.174,168.96.244.214,26468,50433,1/12/2024 1:37,TCP,575,wt883,Normal
19.170.82.183,116.15.250.71,26916,31720,1/2/2024 12:22,TCP,1491,wg930,Normal
72.108.233.222,65.91.151.185,32654,49333,1/15/2024 11:36,TCP,1419,eD686,Normal
164.11.234.138,52.72.34.53,1400,65063,1/5/2024 23:42,UDP,1317,zx644,Suspicious
175.64.143.203,169.76.9.103,25272,56701,1/2/2024 19:02,TCP,959,jA264,Suspicious
37.62.157.205,45.143.116.175,2206,26067,1/7/2024 14:49,TCP,1053,LA593,Normal
206.30.199.147,209.9.117.232,62652,24214,1/19/2024 17:27,UDP,992,Ia898,Suspicious
207.9.44.103,188.26.136.196,14543,47794,1/8/2024 5:36,UDP,831,pV926,Suspicious
91.7.69.254,35.90.241.180,27686,60037,1/13/2024 10:57,TCP,1371,YK703,Malicious
82.248.35.103,2.223.224.136,16140,55679,1/1/2024 2:55,TCP,300,kK267,Normal
102.13.74.238,86.104.175.227,20223,27609,1/5/2024 6:45,TCP,1222,tf845,Suspicious
79.232.246.183,164.30.94.62,41138,30615,1/2/2024 4:52,ICMP,805,wc784,Suspicious
31.39.165.86,46.42.85.78,53565,5181,1/8/2024 2:19,UDP,992,hR107,Normal
147.180.179.41,191.38.23.147,30546,24020,1/19/2024 12:10,TCP,909,RL152,Normal
173.164.187.248,55.17.144.4,21617,28813,1/16/2024 19:58,UDP,1078,wR461,Normal
22.231.190.108,104.183.245.240,30511,25840,1/24/2024 23:48,TCP,1362,Mn584,Suspicious
92.139.194.80,96.49.137.66,9001,52494,1/3/2024 22:29,TCP,295,wa817,Malicious
126.189.60.16,204.154.91.185,52828,19228,1/7/2024 16:28,UDP,1185,Wl376,Suspicious
169.11.149.48,204.37.22.46,58811,11909,1/7/2024 1:43,TCP,1261,Sb464,Malicious
167.59.0.72,156.83.198.59,40864,13290,1/10/2024 6:57,TCP,941,bX075,Suspicious
100.222.226.40,186.142.122.40,47613,9202,1/11/2024 4:49,ICMP,215,Lr631,Malicious
109.84.246.125,144.152.141.81,47240,43910,1/9/2024 13:00,ICMP,711,Qp827,Suspicious
7.87.3.42,114.94.234.199,62883,65472,1/16/2024 23:24,UDP,574,kA660,Normal
178.176.49.61,102.147.104.6,22142,30027,1/17/2024 23:44,ICMP,926,Su066,Malicious
44.67.68.231,107.198.106.32,25127,18780,1/21/2024 17:01,UDP,1089,wN686,Malicious
45.135.206.195,211.115.250.166,9027,55190,1/8/2024 21:48,TCP,113,AJ420,Malicious
165.150.147.228,122.40.109.182,35803,57419,1/16/2024 17:06,TCP,437,cT701,Malicious
42.251.119.120,157.112.190.112,779,7907,1/11/2024 20:14,TCP,798,Qf763,Malicious
218.218.145.121,175.1.116.144,55754,37505,1/5/2024 5:05,UDP,565,qa929,Normal
181.43.231.95,160.169.104.169,46796,4725,1/11/2024 21:00,UDP,501,Gd665,Malicious
16.112.229.32,73.137.59.202,38210,64422,1/2/2024 12:50,UDP,265,qI058,Normal
95.179.20.92,95.108.103.255,41829,39221,1/5/2024 15:02,TCP,1346,Ph289,Malicious
148.205.101.102,85.185.190.2,128,64024,1/21/2024 19:08,TCP,1174,xN989,Malicious
172.231.133.16,117.204.164.153,1194,35734,1/23/2024 20:22,ICMP,1294,sD993,Suspicious
193.126.48.177,10.166.63.208,10749,40115,1/8/2024 3:16,TCP,1427,Sz532,Normal
61.162.101.52,25.234.35.83,13169,14276,1/10/2024 18:25,ICMP,567,mN680,Malicious
68.6.8.155,10.150.171.189,43806,15322,1/8/2024 5:42,ICMP,1367,ci168,Normal
200.18.162.91,91.119.162.231,31397,5820,1/16/2024 3:44,TCP,556,iQ967,Suspicious
94.169.194.181,199.11.161.10,35758,55822,1/1/2024 5:08,UDP,836,yN730,Suspicious
44.138.147.230,62.141.89.117,21834,44327,1/8/2024 20:15,TCP,212,Xy415,Suspicious
8.27.30.237,24.152.209.147,4698,58877,1/20/2024 20:31,ICMP,583,CR074,Suspicious
38.230.4.241,58.153.37.177,49529,3634,1/20/2024 0:30,UDP,727,lZ685,Suspicious
215.113.18.138,148.59.225.19,5411,46182,1/15/2024 2:19,ICMP,1092,Od341,Normal
169.37.191.93,12.167.160.185,58334,59117,1/22/2024 12:10,UDP,216,Bv316,Suspicious
164.0.107.29,187.36.73.184,31916,971,1/4/2024 7:56,TCP,388,Ab798,Malicious
17.204.197.189,201.168.194.20,52797,32851,1/9/2024 16:40,TCP,448,kk178,Malicious
161.37.6.181,88.189.71.72,52762,21839,1/15/2024 18:33,ICMP,744,cc259,Suspicious
130.192.61.204,33.154.251.68,59131,34850,1/15/2024 1:57,UDP,442,fR934,Malicious
145.146.219.119,50.59.220.246,31900,36496,1/19/2024 2:41,TCP,821,rD440,Suspicious
119.89.102.55,28.64.202.29,33900,57386,1/21/2024 11:33,ICMP,278,Fw536,Normal
95.230.202.225,203.212.152.141,30143,58379,1/18/2024 10:07,UDP,281,lY187,Malicious
140.223.114.59,192.30.163.230,2832,19346,1/8/2024 11:46,ICMP,1422,fi260,Suspicious
179.109.186.19,114.55.160.3,38233,42255,1/2/2024 11:46,ICMP,1358,aS427,Suspicious
118.120.254.46,142.35.223.55,60018,16187,1/13/2024 16:43,TCP,557,Xd304,Malicious
223.140.218.37,46.31.23.193,33883,55876,1/4/2024 4:47,ICMP,497,gb636,Suspicious
94.105.156.157,67.235.255.213,61274,12090,1/7/2024 8:01,UDP,271,XG962,Suspicious
183.25.66.240,133.45.67.110,30004,21471,1/23/2024 14:26,TCP,212,ne208,Normal
58.189.227.84,187.105.53.225,45210,25298,1/9/2024 23:17,ICMP,548,Xk673,Suspicious
209.180.137.254,130.25.210.101,23157,13013,1/18/2024 4:38,TCP,1201,LV497,Suspicious
12.151.165.195,132.141.133.255,12098,35242,1/22/2024 3:25,ICMP,1271,YP922,Normal
43.160.210.42,36.8.31.206,41578,9681,1/2/2024 19:05,ICMP,708,BK367,Normal
85.50.191.158,89.227.63.101,14699,65331,1/1/2024 4:31,TCP,1190,AM487,Malicious
3.119.65.50,174.182.241.33,19980,53004,1/6/2024 23:13,UDP,867,Wv973,Normal
149.166.140.55,106.222.180.159,40002,24069,1/13/2024 8:17,ICMP,1004,Gl066,Normal
145.158.108.78,108.74.230.33,40696,2042,1/4/2024 22:16,ICMP,252,Et746,Suspicious
84.144.180.155,17.219.239.171,22819,60381,1/14/2024 7:45,TCP,922,Xv966,Normal
37.109.164.40,36.235.1.174,4377,22559,1/16/2024 1:50,TCP,862,RI412,Malicious
181.181.180.42,175.87.52.26,5839,161,1/15/2024 8:42,TCP,1200,YP681,Normal
133.196.157.96,106.132.77.247,3785,40518,1/18/2024 1:49,UDP,786,hH790,Malicious
148.211.103.90,64.111.149.14,45031,31768,1/8/2024 13:58,TCP,791,xE705,Malicious
137.9.4.77,116.177.89.122,30617,12187,1/12/2024 8:29,UDP,796,AA873,Normal
194.213.248.102,10.87.3.230,43199,49040,1/17/2024 16:27,TCP,1001,kp399,Malicious
221.133.84.19,150.112.211.56,20909,47682,1/22/2024 6:39,UDP,1023,Lu560,Suspicious
34.60.106.252,52.191.250.33,34565,32849,1/23/2024 5:37,UDP,1343,tJ059,Suspicious
117.48.249.200,106.33.225.228,25822,19165,1/13/2024 19:52,UDP,943,GW796,Normal
197.45.49.43,66.157.93.167,49373,8356,1/23/2024 9:46,ICMP,79,lF907,Malicious
61.118.242.209,158.37.39.231,15197,45650,1/8/2024 21:55,ICMP,1240,yQ575,Normal
118.231.242.179,16.149.159.113,7786,42326,1/8/2024 20:35,TCP,1302,QG588,Malicious
61.89.0.209,94.182.149.212,57985,6237,1/13/2024 11:26,UDP,98,iL883,Normal
200.182.89.108,168.41.127.33,24853,10305,1/19/2024 21:01,ICMP,455,Ua890,Suspicious
78.206.201.63,22.105.29.88,6286,37360,1/11/2024 8:23,UDP,426,ie006,Suspicious
26.9.35.177,189.221.166.222,31289,18627,1/21/2024 3:31,TCP,89,Yf015,Suspicious
111.202.13.246,8.133.18.128,52164,16389,1/10/2024 3:21,ICMP,1264,uT891,Suspicious
30.201.52.110,183.216.86.229,28604,54221,1/10/2024 9:35,TCP,632,oV131,Malicious
89.45.151.117,152.113.227.216,5581,6528,1/7/2024 15:21,ICMP,241,QH803,Suspicious
125.0.111.89,74.116.128.210,54479,51515,1/8/2024 8:54,ICMP,101,Ba169,Malicious
