"subregion","region","pop","income","ipaddr","ufo2010","infections"
"abbeville","south carolina",25101,34670,30330,2,35
"acadia","louisiana",61912,37970,38203,6,47
"accomack","virginia",33341,41595,41338,2,7
"ada","idaho",409061,55304,1035427,59,503
"adair","iowa",7481,47623,3762,0,3
"adair","kentucky",18675,31775,14303,1,19
"adair","missouri",25581,33157,75347,1,21
"adair","oklahoma",22286,31038,4543,0,5
"adams","colorado",459598,56089,3206226,115,139
"adams","idaho",3915,36845,1916,0,2
"adams","illinois",67197,45792,50969,0,53
"adams","indiana",34365,46549,30418,0,12
"adams","iowa",3911,44389,2678,0,5
"adams","mississippi",32122,26784,12892,0,27
"adams","nebraska",31459,47469,27319,0,19
"adams","north dakota",2311,40236,637,0,1
"adams","ohio",28350,34232,7657,6,14
"adams","pennsylvania",101482,57097,100026,4,66
"adams","washington",19005,41219,12294,2,10
"adams","wisconsin",20679,41152,19004,7,19
"addison","vermont",36745,57203,86406,2,19
"aiken","south carolina",162812,43999,131261,9,149
"aitkin","minnesota",15927,41301,8493,2,8
"alachua","florida",251417,41373,413659,29,290
"alamance","north carolina",153920,44430,240090,10,128
"alameda","california",1554720,70821,5394949,169,1254
"alamosa","colorado",16148,38299,15963,1,6
"albany","new york",305455,57715,1655552,40,296
"albany","wyoming",37276,45760,102104,16,365
"albemarle","virginia",102251,65934,329865,15,149
"alcona","michigan",10635,35490,2296,3,2
"alcorn","mississippi",37164,32221,17397,0,34
"alexander","illinois",7748,27727,636,0,2
"alexander","north carolina",36853,40658,9693,0,8
"alfalfa","oklahoma",5666,42730,2807,1,4
"alger","michigan",9541,38231,10594,1,9
"allamakee","iowa",14237,47096,7410,0,10
"allegan","michigan",112039,51232,112279,22,63
"allegany","maryland",74012,39408,6186,4,20
"allegany","new york",48357,41900,160094,5,30
"alleghany","north carolina",10927,32478,6114,0,6
"alleghany","virginia",16230,44329,11724,4,10
"allegheny","pennsylvania",1229338,49805,3764776,70,1234
"allen","indiana",360412,49767,479007,25,286
"allen","kansas",13319,40275,26075,2,9
"allen","kentucky",20210,35357,5609,0,8
"allen","louisiana",25539,39007,5742,1,19
"allen","ohio",105141,43323,68896,7,113
"allendale","south carolina",9988,22982,1336,0,7
"alpena","michigan",29234,38081,15898,1,20
"alpine","california",1129,59018,644,0,1
"amador","california",37035,56180,15510,1,36
"amelia","virginia",12759,51540,7121,0,4
"amherst","virginia",32384,44383,19526,9,11
"amite","mississippi",12957,31402,1927,0,3
"anderson","kansas",7917,40753,3190,0,1
"anderson","kentucky",21728,52447,10148,1,20
"anderson","south carolina",189355,42854,181578,6,147
"anderson","tennessee",75416,44872,324808,9,48
"anderson","texas",58190,40577,41981,0,23
"andrew","missouri",17417,54148,4710,1,8
"andrews","texas",16117,51598,8184,2,11
"androscoggin","maine",107609,45699,147043,23,113
"angelina","texas",87597,39325,40444,4,89
"anne arundel","maryland",550488,85690,891594,33,512
"anoka","minnesota",336414,69139,302309,11,123
"anson","north carolina",26351,34659,6125,1,13
"antelope","nebraska",6545,40474,2419,0,6
"antrim","michigan",23406,42440,13125,4,9
"apache","arizona",73195,31011,45388,16,65
"appanoose","iowa",12700,35230,5866,0,7
"appling","georgia",18368,34989,12301,0,17
"appomattox","virginia",15128,47992,3250,0,6
"aransas","texas",23818,44129,0,0,0
"arapahoe","colorado",595546,59937,9184255,69,666
"archer","texas",8735,53113,11627,1,6
"archuleta","colorado",12070,60170,12762,0,12
"arenac","michigan",15477,36281,4205,2,4
"arkansas","arkansas",18892,38986,9733,0,15
"arlington","virginia",221045,99651,580164,43,136
"armstrong","pennsylvania",68409,44663,50161,6,93
"armstrong","texas",1944,56538,0,1,0
"aroostook","maine",70868,37138,51221,6,90
"arthur","nebraska",486,43194,0,1,0
"ascension","louisiana",112286,66173,88428,3,95
"ashe","north carolina",27097,36498,19012,3,17
"ashland","ohio",52962,45641,38079,0,52
"ashland","wisconsin",15992,37900,10760,2,17
"ashley","arkansas",21524,35657,11132,0,7
"ashtabula","ohio",100389,41501,65007,17,77
"asotin","washington",21888,41993,10569,7,13
"assumption","louisiana",23026,46699,22826,4,27
"atascosa","texas",46446,43261,18571,2,20
"atchison","kansas",16813,44433,9232,0,12
"atchison","missouri",5517,44330,4941,2,1
"athens","ohio",64304,33546,107074,4,38
"atkinson","georgia",8284,32814,2293,0,7
"atlantic","new jersey",275422,55222,370037,3,198
"atoka","oklahoma",14007,33919,4093,0,4
"attala","mississippi",19157,29805,15992,1,6
"audrain","missouri",25621,41567,10426,3,15
"audubon","iowa",5910,41840,3331,2,4
"auglaize","ohio",45831,52838,50183,1,76
"augusta","virginia",73658,51719,255824,6,72
"aurora","south dakota",2742,46205,127,0,0
"austin","texas",28618,52510,22301,0,14
"autauga","alabama",55514,53899,23597,2,44
"avery","north carolina",17635,37985,79344,0,18
"avoyelles","louisiana",41632,32321,22594,0,37
"baca","colorado",3751,37111,538,0,0
"bacon","georgia",11198,32065,9161,0,15
"bailey","texas",7130,41106,9395,0,3
"baker","florida",27086,47041,20832,0,16
"baker","georgia",3366,27255,127,0,0
"baker","oregon",15909,40989,10362,0,4
"baldwin","alabama",190790,51321,106494,12,184
"baldwin","georgia",46367,36429,48480,2,170
"ballard","kentucky",8333,41875,9599,0,5
"baltimore","maryland",817455,65411,919105,3,647
"baltimore city","maryland",621342,40100,1832407,54,735
"bamberg","south carolina",15763,26697,13816,0,4
"bandera","texas",20537,45595,23248,2,4
"banks","georgia",18316,41397,9305,0,17
"banner","nebraska",760,27167,255,0,0
"bannock","idaho",83800,45347,131733,10,43
"baraga","michigan",8683,40115,17641,0,3
"barber","kansas",4861,41677,8946,0,5
"barbour","alabama",27201,34041,9951,0,13
"barbour","west virginia",16493,33158,6719,5,14
"barnes","north dakota",11015,43730,8326,0,2
"barnstable","massachusetts",215423,60525,174821,31,184
"barnwell","south carolina",22212,34546,13913,3,18
"barren","kentucky",42631,38616,33232,2,42
"barron","wisconsin",45733,44806,37127,2,44
"barrow","georgia",70169,50604,52074,9,63
"barry","michigan",58990,52061,50409,5,18
"barry","missouri",35546,38321,37634,0,21
"bartholomew","indiana",79129,53692,203053,6,70
"barton","kansas",27557,44989,17966,3,17
"barton","missouri",12337,39144,6241,0,4
"bartow","georgia",100661,49060,56000,9,77
"bastrop","texas",74763,52882,45981,6,41
"bates","missouri",16709,38966,9434,15,12
"bath","kentucky",11802,28776,2166,1,6
"bath","virginia",4652,52500,3152,0,2
"baxter","arkansas",41048,35589,29655,8,33
"bay","florida",171903,48225,73294,17,104
"bay","michigan",106935,45962,183583,9,117
"bayfield","wisconsin",15099,44190,7438,1,12
"baylor","texas",3623,37159,2041,0,9
"beadle","south dakota",17753,40455,10236,0,15
"bear lake","idaho",5907,43897,1914,0,1
"beaufort","north carolina",47507,40986,38306,1,85
"beaufort","south carolina",168049,57133,94865,12,145
"beauregard","louisiana",36281,45113,13200,4,21
"beaver","oklahoma",5591,47386,3327,1,1
"beaver","pennsylvania",170245,47928,96949,13,119
"beaver","utah",6501,43225,4990,2,6
"beaverhead","montana",9346,41226,7100,2,8
"becker","minnesota",33000,47959,27415,3,19
"beckham","oklahoma",23081,45726,15484,4,14
"bedford","pennsylvania",49324,40710,22124,4,31
"bedford","tennessee",45573,39480,30871,3,24
"bedford","virginia",69590,56021,57873,7,56
"bee","texas",32527,39247,11489,2,15
"belknap","new hampshire",60327,56921,30217,24,58
"bell","kentucky",28183,25269,7935,0,20
"bell","texas",323037,49466,318587,23,389
"belmont","ohio",69671,39712,35329,8,41
"beltrami","minnesota",45375,43989,36392,4,37
"ben hill","georgia",17538,31943,18131,2,45
"benewah","idaho",9117,37508,8484,3,5
"bennett","south dakota",3436,34500,127,0,0
"bennington","vermont",36697,48083,25235,4,11
"benson","north dakota",6760,32149,3824,1,3
"bent","colorado",5773,35667,2054,0,6
"benton","arkansas",232268,52159,1957565,23,151
"benton","indiana",8804,47240,3072,2,2
"benton","iowa",25827,55810,10109,3,10
"benton","minnesota",38865,51159,26992,0,19
"benton","mississippi",8730,28666,1295,0,4
"benton","missouri",18962,34512,15247,2,10
"benton","oregon",86430,47716,231659,19,69
"benton","tennessee",16361,34152,10634,0,5
"benton","washington",182398,59974,440014,34,138
"benzie","michigan",17465,47017,4606,2,11
"bergen","new jersey",918888,83443,2762728,44,670
"berkeley","south carolina",189781,51093,200561,10,205
"berkeley","west virginia",107098,52504,65036,12,119
"berks","pennsylvania",413491,54823,414882,22,285
"berkshire","massachusetts",130016,48705,209982,8,129
"bernalillo","new mexico",673460,48231,1478442,102,766
"berrien","georgia",19041,32512,11225,3,57
"berrien","michigan",156067,42488,290688,8,80
"bertie","north carolina",20653,29326,15198,0,15
"bexar","texas",1785704,48083,3036661,116,2108
"bibb","alabama",22597,40506,6293,1,13
"bibb","georgia",156462,37975,189696,5,203
"bienville","louisiana",14076,30594,3706,0,7
"big horn","montana",13061,37277,4983,4,7
"big horn","wyoming",11794,52597,7394,2,10
"big stone","minnesota",5164,44438,1417,0,2
"billings","north dakota",905,53846,765,0,1
"bingham","idaho",45474,46169,11283,4,9
"black hawk","iowa",131820,44567,228041,12,130
"blackford","indiana",12502,40214,3650,1,3
"bladen","north carolina",34915,30273,9148,2,23
"blaine","idaho",21146,62906,30821,3,12
"blaine","montana",6683,38721,68704,2,7
"blaine","nebraska",514,39688,0,0,0
"blaine","oklahoma",9785,41306,4119,2,8
"blair","pennsylvania",127121,43243,87186,10,156
"blanco","texas",10655,46457,22279,1,23
"bland","virginia",6738,42864,826,0,0
"bleckley","georgia",12913,35997,7570,1,8
"bledsoe","tennessee",12792,35137,3959,0,8
"blount","alabama",57826,45404,32048,0,26
"blount","tennessee",124177,47298,120229,10,95
"blue earth","minnesota",65091,48911,123563,3,73
"boise","idaho",6835,47128,1901,0,6
"bolivar","mississippi",33904,27173,22595,1,50
"bollinger","missouri",12382,36119,2634,0,3
"bon homme","south dakota",7029,43456,11403,0,10
"bond","illinois",17644,50672,14957,0,8
"bonner","idaho",40476,42989,29725,4,20
"bonneville","idaho",106684,51311,204874,12,90
"boone","arkansas",37327,37703,27062,3,43
"boone","illinois",53940,61613,31074,2,23
"boone","indiana",58944,68284,43749,10,41
"boone","iowa",26195,51582,9327,3,8
"boone","kentucky",123316,68087,89077,0,140
"boone","missouri",168535,47123,553028,56,256
"boone","nebraska",5417,41691,3950,1,6
"boone","west virginia",24478,41359,11196,0,40
"borden","texas",616,59643,127,1,1
"bosque","texas",18125,44744,13902,1,5
"bossier","louisiana",122197,51771,53513,13,44
"botetourt","virginia",33154,65633,23711,2,26
"bottineau","north dakota",6579,44399,3317,0,15
"boulder","colorado",305318,66479,1407355,82,221
"boundary","idaho",10808,35324,7216,0,1
"bourbon","kansas",14897,39843,8045,0,9
"bourbon","kentucky",19978,42192,6667,0,11
"bowie","texas",93148,43210,36248,9,52
