pop,infections,chat_message
36941,62,62
8339,9,0.009
135251,86,0.637
5536,4,0.3
14748,8,8
3278,0,0
1202,0,0
4665,3,0.002
283921,186,186
146761,129,129
64304,38,38
14256,6,0.005
16084,20,0.025
2359,21,0.018
19646,29,0.000147
9545,30,0.0315
550488,512,512
9942,0,0
12759,4,0.4
34752,46,46
4271,0,0
413491,285,285
7082,3,0.003
40918,20,0.49
24029,23,0.23
1444,0,0
11137,1,1
14131,6,0.000424
41048,33,0.0011
14172,7,0.000493
52681,38,38
5789,2,0.2
82930,56,56
65917,46,46
14327,7,0.000488
16867,12,12
8615,6,0.7
15927,8,8
80671,67,67
66221,57,57
27315,24,24
25077,15,15
1261,2,0.002
2307,2,0.002
27374,7,0.73
14309,19,19
45133,29,0.0643
775,0,0
200665,177,177
38013,37,0.973
